"yr","plt","grp","bio"
2002,105,"ANPP",437.09
2002,106,"ANPP",304.681
2002,107,"ANPP",363.69
2002,108,"ANPP",943.161
2002,109,"ANPP",208.51
2002,110,"ANPP",330.309
2002,111,"ANPP",477.3
2002,112,"ANPP",1003.355
2002,113,"ANPP",405.37
2002,114,"ANPP",948.58
2002,115,"ANPP",656.455
2002,116,"ANPP",201.99
2002,117,"ANPP",504.038
2002,118,"ANPP",416.6
2002,119,"ANPP",1700.85
2002,120,"ANPP",465.319
2002,121,"ANPP",517.94
2002,122,"ANPP",379.139
2002,123,"ANPP",610.99
2002,124,"ANPP",431.35
2002,125,"ANPP",365.591
2002,126,"ANPP",640.477
2002,127,"ANPP",455.67
2002,128,"ANPP",928.58
2002,129,"ANPP",346.226
2002,131,"ANPP",336.31
2002,134,"ANPP",683.088
2002,136,"ANPP",442.84
2002,137,"ANPP",460.433
2002,139,"ANPP",420.71
2002,142,"ANPP",795.5
2002,144,"ANPP",521.417
2003,1,"ANPP",325.32
2003,2,"ANPP",406.74
2003,3,"ANPP",791.63
2003,4,"ANPP",509.43
2003,5,"ANPP",940.71
2003,6,"ANPP",759.79
2003,7,"ANPP",1059.86
2003,8,"ANPP",346.52
2003,9,"ANPP",1118.37
2003,10,"ANPP",646.81
2003,11,"ANPP",1176.88
2003,12,"ANPP",606.38
2003,13,"ANPP",672.906
2003,14,"ANPP",698.09
2003,15,"ANPP",535.681
2003,16,"ANPP",396.843
2003,17,"ANPP",609.21
2003,18,"ANPP",263.404
2003,19,"ANPP",655.67
2003,20,"ANPP",1310.93
2003,21,"ANPP",955.18
2003,22,"ANPP",840.652
2003,23,"ANPP",564.54
2003,24,"ANPP",803.76
2003,25,"ANPP",905.82
2003,26,"ANPP",1000.846
2003,27,"ANPP",324.75
2003,28,"ANPP",578.58
2003,29,"ANPP",545.53
2003,30,"ANPP",412.263
2003,31,"ANPP",1134.907
2003,32,"ANPP",666.42
2003,33,"ANPP",226.38
2003,34,"ANPP",302.7
2003,35,"ANPP",457.23
2003,36,"ANPP",211.77
2003,37,"ANPP",1543.332
2003,38,"ANPP",1248.37
2003,39,"ANPP",528.937
2003,40,"ANPP",720.99
2003,41,"ANPP",324.34
2003,42,"ANPP",377.746
2003,43,"ANPP",637.531
2003,44,"ANPP",1273.91
2003,45,"ANPP",724.469
2003,46,"ANPP",532.48
2003,47,"ANPP",302.27
2003,48,"ANPP",463.33
2003,49,"ANPP",499.262
2003,50,"ANPP",421.951
2003,51,"ANPP",1459.49
2003,52,"ANPP",318.332
2003,53,"ANPP",431.42
2003,54,"ANPP",989.15
2003,55,"ANPP",372.48
2003,56,"ANPP",590.21
2003,57,"ANPP",1695.177
2003,58,"ANPP",775.39
2003,59,"ANPP",709.86
2003,60,"ANPP",1078.94
2003,61,"ANPP",722.62
2003,62,"ANPP",550.851
2003,63,"ANPP",591.45
2003,64,"ANPP",395.88
2003,65,"ANPP",443.757
2003,66,"ANPP",244.54
2003,67,"ANPP",405.034
2003,68,"ANPP",538.94
2003,69,"ANPP",822.98
2003,70,"ANPP",461.06
2003,71,"ANPP",900.943
2003,72,"ANPP",877.8
2003,73,"ANPP",800.35
2003,74,"ANPP",1649.65
2003,75,"ANPP",669.72
2003,76,"ANPP",499.65
2003,77,"ANPP",1192.13
2003,78,"ANPP",498.441
2003,79,"ANPP",678.866
2003,80,"ANPP",864.89
2003,81,"ANPP",417.52
2003,82,"ANPP",395.67
2003,83,"ANPP",433.4
2003,84,"ANPP",1257.94
2003,85,"ANPP",844.04
2003,86,"ANPP",232.695
2003,87,"ANPP",172.77
2003,88,"ANPP",308.87
2003,89,"ANPP",857.09
2003,90,"ANPP",437.205
2003,91,"ANPP",287.23
2003,92,"ANPP",566.81
2003,93,"ANPP",597.93
2003,94,"ANPP",585.24
2003,95,"ANPP",607.91
2003,96,"ANPP",514.71
2003,97,"ANPP",429.22
2003,98,"ANPP",1449.43
2003,99,"ANPP",936.38
2003,100,"ANPP",459.5
2003,101,"ANPP",772.858
2003,102,"ANPP",495.775
2003,103,"ANPP",337.21
2003,104,"ANPP",641.11
2003,105,"ANPP",544.18
2003,106,"ANPP",230.21
2003,107,"ANPP",492.198
2003,108,"ANPP",758.65
